,0,1,InspName,InspAddress
11834,Falafel & Grill,1317 N Milwaukee Ave,FALAFEL & GRILL,1317 N MILWAUKEE AVE 
11835,Los Jalpeños Restaurant,3334 N Milwaukee Ave,MOY LEE RESTAURANT,5346 N MILWAUKEE AVE 
11836,Dollar Tree,4443 N Sheridan Rd,DOLLAR TREE #07387,4443 N SHERIDAN RD 
11837,Tous Les Jours,2144 S Archer Ave,TOUS LES JOURS,2144 S ARCHER AVE 
11838,Broadway Supermarket,4879 N Broadway St,BROADWAY SUPERMARKET,4879 N BROADWAY 
11839,Durkin's,810 W Diversey Pkwy,DURKIN'S TAVERN,810 W DIVERSEY PKWY 
11840,Otherworld Theatre,3914 N Clark St,OTHERWORLD THEATRE,3912-3914 N CLARK ST 
11841,CVS Pharmacy,6315 South Pulaski Rd,CVS/PHARMACY #8502,6315 S PULASKI RD 
11842,Tierra Mar,6316 S Archer Ave,TIERRA MAR,6316 S ARCHER AVE 
11843,Gerardo's Bakery,10125 S Ewing Avenue,GERARDOS BAKERY 1,10125 S EWING AVE 
11844,Ritmo Ktracho,3650 West Belmont Ave,"PIZZERIA Y RESTAURANTE RITMO KTRACHO,INC.",3650 W BELMONT AVE 
11845,Thunderbird Catering,1204 W 36th Pl,THUNDERBIRD CATERNIG CO,1204 W 36TH PL 
11846,Gelato Greco,1058 W Chicago Ave,GELATO GRECO,1058 W CHICAGO AVE 
11847,Pop's Italian Beef,10337 S Kedzie Ave,POPS  ITALIAN BEEF ON KEDZIE,10337 S KEDZIE AVE 
11848,La Michoacana Premium Ewing Ave,10533 S Ewing Ave,LA MICHOACANA ZAMORANA,10533 S EWING AVE 
11849,Royal Caribbean Jerk,2126 E 71st St,ROYAL CARIBBEAN JERK,2126 E 71ST ST 
11850,Flash Taco South Shore,2247 E 71st,FLASH TACO SOUTHSHORE,2247 E 71ST ST 
11851,South Chicago YMCA,3039 E 91st St,SOUTH CHICAGO YMCA,3039 E 91ST ST FL 
11852,Pakeeza Restaurant,1011 N Orleans St,NEW PAKIZA RESTAURANT,1009-1011 N ORLEANS ST 
11853,Starbucks,227 W Monroe,STARBUCKS COFFEE #211,227 W MONROE ST 
