,Neighborhood
1547,Logan Square
1548,West Town
1549,West Town
1550,Lake View East
1551,West Town
1552,North Center
1553,Lincoln Park
1554,Edgewater
1555,Irving Park
1556,Lake View East
1557,Rogers Park
1558,Back of the Yards
1559,Lake View East
1560,Austin
1561,Lincoln Square
1562,River North
1563,West Lawn
1564,Dunning
1565,West Loop
1566,Streeterville
1567,Sheffield & DePaul
1568,West Town
1569,Lake View East
1570,McKinley Park
1571,Rogers Park
1572,Lake View East
1573,Beverly
1574,Beverly
1575,Irving Park
1576,Rogers Park
1577,Near West Side
1578,Irving Park
1579,River North
1580,Lincoln Park
1581,Irving Park
1582,Irving Park
1583,Gage Park
1584,River North
1585,Gold Coast
1586,South Shore
1587,South Shore
1588,Chicago Loop
1589,West Town
1590,West Town
1591,Lake View
1592,Near South Side
1593,Bridgeport
1594,Bucktown
1595,Portage Park
1596,Lincoln Park
1597,Austin
1598,Near West Side
1599,North Center
1600,Lake View East
1601,Near North Side
1602,Rush & Division
1603,Lincoln Park
1604,West Town
1605,Calumet Heights
1606,Brighton Park
1607,Schorsch Village
1608,West Town
1609,Little Italy
1610,Garfield Ridge
1611,West Elsdon
1612,Near North
1613,Avondale
1614,West Lawn
1615,West Englewood
